Film,Acteurs,Realisateur,Genre,Annee,Duree
Neighbors 2: Sorority Rising,Seth Rogen; Rose Byrne; Zac Efron; Chloë Grace Moretz; Kiersey Clemons,Nicholas Stoller,Comedy,2016,91
American Mary,Katharine Isabelle; Julia Maxwell; Antonio Cupo; Tristan Risk; Paula Lindberg,Jen Soska,Horror; Thriller,2012,98
The Angriest Man in Brooklyn,Robin Williams; Mila Kunis; Peter Dinklage; Melissa Leo; James Earl Jones,Phil Alden Robinson,Drama; Comedy,2014,84
High Plains Drifter,Clint Eastwood; Verna Bloom; Marianna Hill; Mitchell Ryan; Jack Ging,Clint Eastwood,Western,1973,105
Alvin and the Chipmunks: The Squeakquel,Zachary Levi; David Cross; Jason Lee; Justin Long; Matthew Gray Gubler,Betty Thomas,Comedy; Family; Animation; Fantasy; Music,2009,88
Young Guns,Emilio Estevez; Kiefer Sutherland; Lou Diamond Phillips; Charlie Sheen; Dermot Mulroney,Christopher Cain,Crime; Action; Adventure; Drama; Western,1988,107
Funny People,Adam Sandler; Seth Rogen; Leslie Mann; Eric Bana; Jonah Hill,Judd Apatow,Comedy; Drama,2009,146
Eastern Promises,Naomi Watts; Viggo Mortensen; Vincent Cassel; Armin Mueller-Stahl; Sinéad Cusack,David Cronenberg,Thriller; Crime; Mystery,2007,100
Homefront,Jason Statham; James Franco; Izabela Vidovic; Winona Ryder; Rachelle Lefevre,Gary Fleder,Action; Thriller,2013,100
Ride Along,Ice Cube; Kevin Hart; John Leguizamo; Bruce McGill; Tika Sumpter,Tim Story,Action; Comedy,2014,99
In Bruges,Colin Farrell; Brendan Gleeson; Ralph Fiennes; Clémence Poésy; Thekla Reuten,Martin McDonagh,Comedy; Drama; Crime,2008,107
Labor Pains,Lindsay Lohan; Luke Kirby; Chris Parnell; Aaron Yoo; Bridgit Mendler,Lara Shapiro,Comedy,2009,89
Flashdance,Jennifer Beals; Michael Nouri; Lilia Skala; Kyle T. Heffner; Sunny Johnson,Adrian Lyne,Drama; Music; Romance,1983,95
Wild Wild West,Will Smith; Kevin Kline; Kenneth Branagh; Salma Hayek; M. Emmet Walsh,Barry Sonnenfeld,Action; Adventure; Comedy; Science Fiction; Western,1999,106
Rashomon,Toshirō Mifune; Machiko Kyô; Masayuki Mori; Takashi Shimura; Minoru Chiaki,Akira Kurosawa,Crime; Drama; Mystery,1950,88
The Medallion,Jackie Chan; Lee Evans; Claire Forlani; Julian Sands; John Rhys-Davies,Gordon Chan,Thriller; Fantasy; Action; Comedy,2003,88
Laura,Gene Tierney; Dana Andrews; Clifton Webb; Vincent Price; Judith Anderson,Otto Preminger,Drama; Mystery,1944,88
Backdraft,Kurt Russell; William Baldwin; Robert De Niro; Donald Sutherland; Jennifer Jason Leigh,Ron Howard,Action; Crime; Drama; Mystery; Thriller,1991,137
His Girl Friday,Cary Grant; Rosalind Russell; Ralph Bellamy; Gene Lockhart; Alma Kruger,Howard Hawks,Comedy; Drama,1940,92
Clueless,Alicia Silverstone; Stacey Dash; Brittany Murphy; Paul Rudd; Donald Faison,Amy Heckerling,Comedy; Drama; Romance,1995,97
Tremors 2: Aftershocks,Fred Ward; Chris Gartin; Helen Shaver; Michael Gross; Marcelo Tubert,S. S. Wilson,Horror; Action; Comedy; Science Fiction,1996,100
Kicking & Screaming,Will Ferrell; Robert Duvall; Kate Walsh; Musetta Vander; Josh Hutcherson,Jesse Dylan,Romance; Comedy; Family,2005,95
Notting Hill,Julia Roberts; Hugh Grant; Gina McKee; Tim McInnerny; Rhys Ifans,Roger Michell,Romance; Comedy; Drama,1999,124
The Aviator,Leonardo DiCaprio; Cate Blanchett; Kate Beckinsale; John C. Reilly; Alec Baldwin,Martin Scorsese,Drama,2004,170
Re-Animator,Jeffrey Combs; Bruce Abbott; Barbara Crampton; David Gale; Robert Sampson,Stuart Gordon,Science Fiction; Comedy; Horror,1985,86
A Dangerous Method,Keira Knightley; Viggo Mortensen; Michael Fassbender; Sarah Gadon; Vincent Cassel,David Cronenberg,Drama; Thriller,2011,99
Escape to Victory,Michael Caine; Sylvester Stallone; Max von Sydow; Pelé; Carole Laure,John Huston,Action; Drama,1981,116
A Dog's Purpose,Dennis Quaid; Britt Robertson; Josh Gad; K.J. Apa; Juliet Rylance,Lasse Hallström,Comedy; Drama; Family; Fantasy,2017,100
The X Files: I Want to Believe,David Duchovny; Gillian Anderson; Amanda Peet; Billy Connolly; Xzibit,Chris Carter,Drama; Mystery; Science Fiction; Thriller,2008,104
Hero,Jet Li; Tony Leung Chiu-Wai; Maggie Cheung; Donnie Yen; Zhang Ziyi,Zhang Yimou,Drama; Adventure; Action; History,2002,99
Malice,Alec Baldwin; Nicole Kidman; Bill Pullman; Bebe Neuwirth; George C. Scott,Harold Becker,Drama; Crime,1993,107
New Nightmare,Heather Langenkamp; Robert Englund; Miko Hughes; Wes Craven; David Newsom,Wes Craven,Horror; Thriller; Mystery; Fantasy,1994,112
The Girl with the Dragon Tattoo,Michael Nyqvist; Noomi Rapace; Lena Endre; Sven-Bertil Taube; Peter Andersson,Niels Arden Oplev,Drama; Thriller; Crime; Mystery,2009,152
Small Fry,Lori Alan; Carlos Alazraqui; Tim Allen; Bob Bergen; Blake Clark,Angus MacLane,Animation; Family,2011,7
Horrible Bosses,Jennifer Aniston; Jason Bateman; Charlie Day; Jason Sudeikis; Colin Farrell,Seth Gordon,Comedy; Crime,2011,98
20th Century Women,Annette Bening; Elle Fanning; Greta Gerwig; Lucas Jade Zumann; Billy Crudup,Mike Mills,Drama,2016,119
Eragon,Ed Speleers; Jeremy Irons; Sienna Guillory; Robert Carlyle; Djimon Hounsou,Stefen Fangmeier,Fantasy; Action; Adventure; Family,2006,104
Krull,Ken Marshall; Lysette Anthony; Francesca Annis; Alun Armstrong; David Battley,Peter Yates,Fantasy; Action; Adventure,1983,117
Dumb and Dumber,Jim Carrey; Jeff Daniels; Lauren Holly; Teri Garr; Mike Starr,Peter Farrelly,Comedy,1994,107
Time Bandits,Sean Connery; John Cleese; Shelley Duvall; Michael Palin; Ian Holm,Terry Gilliam,Family; Fantasy; Science Fiction; Adventure; Comedy,1981,116
Brazil,Jonathan Pryce; Robert De Niro; Katherine Helmond; Ian Holm; Bob Hoskins,Terry Gilliam,Comedy; Science Fiction,1985,132
Body Double,Craig Wasson; Melanie Griffith; Gregg Henry; Deborah Shelton; Guy Boyd,Brian De Palma,Crime; Mystery; Horror; Thriller,1984,114
The Duchess,Keira Knightley; Ralph Fiennes; Aidan McArdle; Simon McBurney; Charlotte Rampling,Saul Dibb,Drama; History; Romance,2008,110
The Aristocats,Phil Harris; Sterling Holloway; Scatman Crothers; Eva Gabor; Paul Winchell,Wolfgang Reitherman,Animation; Comedy; Family; Adventure,1970,78
The Mechanic,Jason Statham; Ben Foster; Donald Sutherland; Mini Anden; Tony Goldwyn,Simon West,Action; Thriller; Crime,2011,93
